Review Text,Review,Recommends,Review Length,Review Type
"the worst service ever! waiters act like they don't know what they are here for, no clue of what's on the menu and the hydrabadi biriyani we took away, they didn't provide with the sides. i mean seriously!",1,,205,Negative
Poor food quality & worst service ever. The food were rotten also musty. The waiters were so late to serve food but very fast to take the bills. After serving food they were just wandering around us like when will we finish and leave the restaurant. bloody nonsense people and cheap quality foods though price were very high!. I will never ever go there.,1,,354,Negative
"The worst food, worst service. but the prices are high খাবার যে কি রকম বাজে আর জঘন�য হতে পারে, �র প�রমাণ The Curry House",1,,193,Negative
price was too high... so its nt very favorable for students.. taste was good.,2,,77,Negative
worst food ever -__- soup ta ato baaje..chicken ta motamoti,1,,59,Negative
Environment :8/10 Service: 8/10 Item Name: Welcome drink Taste: 5/10 Price : Complementary... Item Name : Chinese Platter Quantity : Half Platter(2persons) Price: 999taka Chinese Platter: 1. Wrapped Prawns Taste: 5/10 2. Thai Mixed Fried Rice Taste: 7/10 3. TCH. Signature Chowmein Taste: 6/10 4. Manchurian Chicken Taste: 4.5/10 5. Dry Chili Beef Taste: (-10/10) 6. Thai Mixed Vegetables Taste: 2/10 7. Ice-Cream( Vanilla / Chocolate) Taste: 5/10 8. Soft Drinks or Mineral Water Taste: Usual,2,,492,Negative
"WORST SERVICE,WORST FOOD AND PRICE IS TOO HIGH !!!!! >:O >:O >:O",1,,64,Negative
Worst place ever... it is a common place for eve-teasers... so girls visit at your own risk because u might be harassed and the incompetent staffs will just be watching..,1,,170,Negative
"Worst place ever...since it is a common place for eve-teasers... so girls visit at your own risk because u might be harassed and the ignorant staffs will give preferences to their frequent visitors, who are jerks.",1,,213,Negative
One Of the worst food I have ever Eat in my whole life. Better not to go there. Horrible place to eat.,1,,102,Negative
Extremely bad chow mein. They were good before Ramadan. Their food is absolutely horrible now.,1,,94,Negative
Aikhankar staff ra customer der harassment kore. Don't go there. And also some of the staff brings their eve teaser friends in here and those low life teasers keeps harassing the girls. Absolutely not a safe place for girls.,1,,224,Negative
Risky place for girls as eve-teasers openly tease and employees do not utter a word. Such place should be avoided as they can not ensure safety.,1,,144,Negative
Breeding ground for eve-teasers. Girls should steer clear from this place. Guys should also ignore such places that cannot ensure people's safety!,1,,146,Negative
Hate this place as they support eve teaser rather than supporting the victims..girls should avoid this place must.,1,,114,Negative
A very disgusting environment filled with creeps. The staff doesn't do anything about it. Not a safe place for women. Shit momos.,1,,129,Negative
Girls should be careful if they visit yo momos because if u face any eve teaser there they will not come forward they will not give u any support !! Shame on yo momos,1,,166,Negative
This place hosts potential rapists and eve teasers.,1,,51,Negative
Creepy people harass girls inside restaurant. The concerns don’t take any step. Worst ever,1,,92,Negative
you know very well why you are getting this one star..,1,,54,Negative
"price quite higher, service absolutely poor, delivery time just bullshit",1,,72,Negative
wari food lounge food is not bad but the servise is bad ��,1,,62,Negative
I ma very very disappointed with this food center ... i ordered a Burger and Lemon Soda... Burger was okay enough but Lemon soda was way too disgusting .... simply it was just as salty saline ... i even requested them to ask if there was any mistake and to check ... but they said that's how they make Lemon Soda ... trust me i am so pissed off ... Worst Lemon Soda ever ....,1,,375,Negative
It's unhygienic environment and very very poor customer service... Please don't go...,1,,85,Negative
":/ didn't serve enough sauce for 4.. asked for extra sauce, he just gave half of a tea spoon!! LoL",2,,98,Negative
"The pizza was Fucking Horrible, How could you call that thing 'pizza'??",1,,71,Negative
"The newly imposed VAT and reduced amount of food is surely disappointing.. I used to dine in frequently.. but yesterday whatever I got in Mega Platter for 4 which is now 4600tk, was so less in quantity which doesnot serve our hunger.. every item has served in half amount compared to previous dine in experience..",,FALSE,313,Negative
"Very very disappointed with the food they provided. We took Classic platter (for 2 people - 1500 BDT). Egg fried rice was oily and soggy. Beef chili onion was horrible, burnt taste, too much sweet, very watery & unpalatable. Sweet and sour prawn was unpalatable also, very soggy prawn coating, too much sour and rubbery. Fried chicken pieces were very small. Worst platter experience I ever had. Definitely not recommending the Baily road branch.",,FALSE,446,Negative
"Really disappointed with recent 499 bogo meal. You have just served one meal in a 2 plates, quantity is very low.",1,,113,Negative
"Horrible 'iced tea' at Bailey road branch!! We ordered not to give extra ice on iced tea, they served us boiling tea and then tried to convince us how this is our fault for not wanting it cold. Best was when they put some ice cubes on the boiling tea in an attempt to make it cold. Disappointed.",,FALSE,295,Negative
after 25mins from order the waiter told me they gave my food to someone else! service sucks!,,FALSE,92,Negative
"You guys should mention about minimum order when post any advertisement through Facebook. When I called for HAKKA LUNCHBOX, you are saying that minimum order is 1000/- coz it’s free delivery but both of these informations were not mentioned. Pls don’t mislead your customers.",1,,279,Negative
"After coming home one of us puked the other one had loose motion. Furthermore we only took wrapped prawn and vegetable noodles and the two shakes , the bil. Was 1200 so I think this restaurant definitely is overpriced as well as over rated.",2,,240,Negative
Khabar ektu valo chilo na. Tasteless. Jaal r mishty combination . Eita kisu holo. Beef ta ato mishty ekber Nile r nite ichcha korbe na. Wings o same.,2,,149,Negative
Took 1.5 hours to give our food,1,,31,Negative
Worst restuarant in dhaka... .....................,1,,50,Negative
Super slow service at bailey road branch,2,,40,Negative
Taste 2/10 Quantity 1/10 Price compared to food 2/10 Ambience 2/10,1,,66,Negative
Over price n there is no facility for single people!!! But taste is good....,2,,76,Negative
"Today I ordered some items from Hakkah Dhaka through FoodPanda and my experience was awful! They were not eatable and too oily to digest. On top of that, they were not freshly cooked. I believe they have given us the leftovers!",1,,227,Negative
"have no freaking idea why they have decided to take part in restaurant week. on reaching, they said that they won't serve the given menu after 5.30pm. after much discussion they showed some mercy! n decided otherwise. Now for the last 50mins we are waiting like refugees for the food to come... :( :(",1,,300,Negative
If possible I would give it a zero. The dhanmondi branch waiters are fraud. Me and my friend took two happy meal to eat and two for parcel. They gave us smelly leftover chicken i guess. They literally lied to us that two plates will get only one kulfi so they cut the kulfi into pieces and served us. For the two parcels they said they cannot give drinks or kulfi instead they would give only one yoghurt. They literally seemed like they didn't wanted to serve us..why?? Because there was no guy with us??...even after inquiring several times they just cheated us by not serving what we paid for.....such theif waiters in a restaurant like hakka dhaka seriously?? Worst behaviour and experience!!,1,,696,Negative
Chicken mushrooms was rotten. All food were to much spicy and hot.,2,,66,Negative
Come and have food from your worst nightmare! I'd rate maggi noodles better!,1,,76,Negative
চিকেন ললিপপ �র সাথে চ�ল পাইছি যা মোটেও কাম�ম ছিল না।,2,,133,Negative
I wish I can give negative marking.. Was my first time yesterday for iftar... But their way of serving food for iftar is very disappointing. When you fasting your food must be on your table so that you can eat/ate according your choice rather than you just wait for food for their serving. Exactly that was happen for every customer yesterday. Another thing iftar platter for 4 Person was 4000 bdt and I was asking myself why I paid for these kind of food.. The items all were spicy and hot that you couldn't differentiate the taste. And quantity of food was not anyone's desired....,1,,583,Negative
"Very poor service, food quality and quantity. Not recommended",2,,61,Negative
every dish is cooked with sugar.....not good......foods should be more spicy,2,,76,Negative
Most disgusting food in a noisy place and full of rude waiters.,1,,63,Negative
